,columns,missing values count
340,Sensor - 341,32
341,Sensor - 342,32
342,Sensor - 343,32
343,Sensor - 344,32
344,Sensor - 345,32
345,Sensor - 346,3390
346,Sensor - 347,3390
347,Sensor - 348,32
348,Sensor - 349,168
349,Sensor - 350,168
350,Sensor - 351,168
351,Sensor - 352,168
352,Sensor - 353,168
353,Sensor - 354,168
354,Sensor - 355,168
355,Sensor - 356,168
356,Sensor - 357,7
357,Sensor - 358,12
358,Sensor - 359,3919
359,Sensor - 360,0
360,Sensor - 361,0
361,Sensor - 362,0
362,Sensor - 363,317
363,Sensor - 364,317
364,Sensor - 365,31
365,Sensor - 366,13
366,Sensor - 367,13
367,Sensor - 368,31
368,Sensor - 369,31
369,Sensor - 370,31
370,Sensor - 371,31
371,Sensor - 372,31
372,Sensor - 373,31
373,Sensor - 374,31
374,Sensor - 375,31
375,Sensor - 376,31
376,Sensor - 377,13
377,Sensor - 378,13
378,Sensor - 379,31
379,Sensor - 380,31
380,Sensor - 381,31
381,Sensor - 382,31
382,Sensor - 383,1827
383,Sensor - 384,1827
384,Sensor - 385,1827
385,Sensor - 386,3580
386,Sensor - 387,0
387,Sensor - 388,0
388,Sensor - 389,0
389,Sensor - 390,0
390,Sensor - 391,0
391,Sensor - 392,168
392,Sensor - 393,0
393,Sensor - 394,0
394,Sensor - 395,21
395,Sensor - 396,21
396,Sensor - 397,21
397,Sensor - 398,21
398,Sensor - 399,21
399,Sensor - 400,21
400,Sensor - 401,21
401,Sensor - 402,21
402,Sensor - 403,21
403,Sensor - 404,21
404,Sensor - 405,21
405,Sensor - 406,21
406,Sensor - 407,21
407,Sensor - 408,21
408,Sensor - 409,0
409,Sensor - 410,6
410,Sensor - 411,19
411,Sensor - 412,80
412,Sensor - 413,80
413,Sensor - 414,80
414,Sensor - 415,80
415,Sensor - 416,80
416,Sensor - 417,52
417,Sensor - 418,14
418,Sensor - 419,14
419,Sensor - 420,14
420,Sensor - 421,14
421,Sensor - 422,14
422,Sensor - 423,21
423,Sensor - 424,21
424,Sensor - 425,21
425,Sensor - 426,21
426,Sensor - 427,21
427,Sensor - 428,21
428,Sensor - 429,0
429,Sensor - 430,0
430,Sensor - 431,6
431,Sensor - 432,6
432,Sensor - 433,6
433,Sensor - 434,6
434,Sensor - 435,6
435,Sensor - 436,6
436,Sensor - 437,6
437,Sensor - 438,6
438,Sensor - 439,6
439,Sensor - 440,6
440,Sensor - 441,6
441,Sensor - 442,0
442,Sensor - 443,0
443,Sensor - 444,0
444,Sensor - 445,0
445,Sensor - 446,0
446,Sensor - 447,0
447,Sensor - 448,0
448,Sensor - 449,0
449,Sensor - 450,93
450,Sensor - 451,93
451,Sensor - 452,0
452,Sensor - 453,0
453,Sensor - 454,0
454,Sensor - 455,0
455,Sensor - 456,0
456,Sensor - 457,0
457,Sensor - 458,0
458,Sensor - 459,0
459,Sensor - 460,0
460,Sensor - 461,0
461,Sensor - 462,0
462,Sensor - 463,6
463,Sensor - 464,6
464,Sensor - 465,6
465,Sensor - 466,6
466,Sensor - 467,6
467,Sensor - 468,6
468,Sensor - 469,32
469,Sensor - 470,32
470,Sensor - 471,32
471,Sensor - 472,32
472,Sensor - 473,32
473,Sensor - 474,32
474,Sensor - 475,32
475,Sensor - 476,32
476,Sensor - 477,32
477,Sensor - 478,32
478,Sensor - 479,32
479,Sensor - 480,32
480,Sensor - 481,32
481,Sensor - 482,32
482,Sensor - 483,168
483,Sensor - 484,168
484,Sensor - 485,168
485,Sensor - 486,168
486,Sensor - 487,168
487,Sensor - 488,168
488,Sensor - 489,168
489,Sensor - 490,168
490,Sensor - 491,7
491,Sensor - 492,12
492,Sensor - 493,3919
493,Sensor - 494,0
494,Sensor - 495,0
495,Sensor - 496,0
496,Sensor - 497,317
497,Sensor - 498,317
498,Sensor - 499,31
499,Sensor - 500,13
500,Sensor - 501,13
501,Sensor - 502,31
502,Sensor - 503,31
503,Sensor - 504,31
504,Sensor - 505,31
505,Sensor - 506,31
506,Sensor - 507,31
507,Sensor - 508,31
508,Sensor - 509,31
509,Sensor - 510,31
510,Sensor - 511,13
511,Sensor - 512,13
512,Sensor - 513,31
513,Sensor - 514,31
514,Sensor - 515,31
515,Sensor - 516,31
516,Sensor - 517,1827
517,Sensor - 518,1827
518,Sensor - 519,1827
519,Sensor - 520,3580
520,Sensor - 521,0
521,Sensor - 522,0
522,Sensor - 523,0
523,Sensor - 524,0
524,Sensor - 525,0
525,Sensor - 526,168
526,Sensor - 527,0
527,Sensor - 528,0
528,Sensor - 529,21
529,Sensor - 530,21
530,Sensor - 531,21
531,Sensor - 532,21
532,Sensor - 533,21
533,Sensor - 534,21
534,Sensor - 535,21
535,Sensor - 536,21
536,Sensor - 537,21
537,Sensor - 538,21
538,Sensor - 539,21
539,Sensor - 540,21
540,Sensor - 541,21
541,Sensor - 542,21
542,Sensor - 543,12
543,Sensor - 544,12
544,Sensor - 545,12
545,Sensor - 546,12
546,Sensor - 547,441
547,Sensor - 548,441
548,Sensor - 549,441
549,Sensor - 550,441
550,Sensor - 551,441
551,Sensor - 552,441
552,Sensor - 553,441
553,Sensor - 554,441
554,Sensor - 555,441
555,Sensor - 556,441
556,Sensor - 557,441
557,Sensor - 558,441
558,Sensor - 559,0
559,Sensor - 560,0
560,Sensor - 561,0
561,Sensor - 562,0
562,Sensor - 563,97
563,Sensor - 564,97
564,Sensor - 565,97
565,Sensor - 566,97
566,Sensor - 567,97
567,Sensor - 568,97
568,Sensor - 569,97
569,Sensor - 570,97
570,Sensor - 571,0
571,Sensor - 572,0
572,Sensor - 573,0
573,Sensor - 574,0
574,Sensor - 575,0
575,Sensor - 576,0
576,Sensor - 577,0
577,Sensor - 578,0
578,Sensor - 579,3203
579,Sensor - 580,3203
580,Sensor - 581,3203
581,Sensor - 582,3203
582,Sensor - 583,0
583,Sensor - 584,0
584,Sensor - 585,0
585,Sensor - 586,0
586,Sensor - 587,0
587,Sensor - 588,0
588,Sensor - 589,0
589,Sensor - 590,0
